city,people_served,state,url,utility_name,zip
Remlap,2406,AL,https://www.ewg.org/tapwater/system.php?pws=AL0001672,Remlap-Pine Mountain Water Authority,35079
Snead,5262,AL,https://www.ewg.org/tapwater/system.php?pws=AL0000108,Snead Water Works,35079
Trussville,24351,AL,https://www.ewg.org/tapwater/system.php?pws=AL0000761,Trussville Utilities,35079
Mccalla,35724,AL,https://www.ewg.org/tapwater/system.php?pws=AL0000763,Warrior River Water Authority,35079
Quinton,3177,AL,https://www.ewg.org/tapwater/system.php?pws=AL0000765,"West Jefferson Water Works, Town of",35079
Alcoa,30123,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000007,Alcoa Water System,37882
Louisville,88,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000974,Allendale Mobile Home Park,37882
Rockford,85,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000805,Bays Mountain Mobile Home Park,37882
Walland,75,TN,https://www.ewg.org/tapwater/system.php?pws=TN0008285,Blackberry Mountain L.l.c.,37882
Louisville,115,TN,https://www.ewg.org/tapwater/system.php?pws=TN0008003,Country Acres Farm,37882
Friendsville,5570,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000249,Friendsville Water Works,37882
Maryville,47588,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000438,Maryville Department of Wat Qual Con,37882
Maryville,42413,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000643,South Blount Utility District,37882
Townsend,12390,TN,https://www.ewg.org/tapwater/system.php?pws=TN0000714,Tuckaleechee Utility District,37882
Pendleton,17055,OR,https://www.ewg.org/tapwater/system.php?pws=OR4100613,City of Pendleton,97813
Hermiston,16939,OR,https://www.ewg.org/tapwater/system.php?pws=OR4100372,City of Hermiston,97813
Milton-freewater,7050,OR,https://www.ewg.org/tapwater/system.php?pws=OR4100522,"Milton-freewater, City Of",97813
Umatilla,6980,OR,https://www.ewg.org/tapwater/system.php?pws=OR4100914,"Umatilla, City of",97813
Stanfield,2115,OR,https://www.ewg.org/tapwater/system.php?pws=OR4100842,"Stanfield, City of",97813
Columbus,1159817,OH,https://www.ewg.org/tapwater/system.php?pws=OH2504412,Columbus Public Water System,43068
Newark,47573,OH,https://www.ewg.org/tapwater/system.php?pws=OH4502314,Newark City PWS,43068
Lancaster,40400,OH,https://www.ewg.org/tapwater/system.php?pws=OH2301012,Lancaster City PWS,43068
Westerville,38000,OH,https://www.ewg.org/tapwater/system.php?pws=OH2503411,Westerville City PWS,43068
Reynoldsburg,35893,OH,https://www.ewg.org/tapwater/system.php?pws=OH2503203,Reynoldsburg City PWS,43068
Gahanna,33323,OH,https://www.ewg.org/tapwater/system.php?pws=OH2501303,Gahanna City PWS,43068
Pickerington,19316,OH,https://www.ewg.org/tapwater/system.php?pws=OH2301512,Pickerington City PWS,43068
Bexley,13650,OH,https://www.ewg.org/tapwater/system.php?pws=OH2500103,Bexley City PWS,43068
Carroll,12882,OH,https://www.ewg.org/tapwater/system.php?pws=OH2301912,Fairfield County Utilities PWS,43068
Etna,12088,OH,https://www.ewg.org/tapwater/system.php?pws=OH4505412,Southwest Licking Community Water,43068
Buffalo,532221,NY,https://www.ewg.org/tapwater/system.php?pws=NY1400443,Erie County Water Authority (ECWA),14227
Buffalo,276000,NY,https://www.ewg.org/tapwater/system.php?pws=NY1400422,Buffalo Water Authority,14227
Buffalo,80228,NY,https://www.ewg.org/tapwater/system.php?pws=NY1400399,Erie County Waterr Authority - Amherst,14227
Tonawanda,78423,NY,https://www.ewg.org/tapwater/system.php?pws=NY1404556,Town of Tonawanda Water Department,14227
Buffalo,41538,NY,https://www.ewg.org/tapwater/system.php?pws=NY1400515,Ecwa Hamburg,14227
New Ipswich,32,NH,https://www.ewg.org/tapwater/system.php?pws=NH0823010,20 Jaffrey Rd.,03467
Bedford,100,NH,https://www.ewg.org/tapwater/system.php?pws=NH2302010,Ashuelot River Apartments,03467
Milford,43,NH,https://www.ewg.org/tapwater/system.php?pws=NH1992050,Carriage Apartments,03467
Keene,380,NH,https://www.ewg.org/tapwater/system.php?pws=NH2494010,Cheshire County Complex,03467
Swanzey,113,NH,https://www.ewg.org/tapwater/system.php?pws=NH2302040,Eastfield Crossing,03467
Fitzwilliam,65,NH,https://www.ewg.org/tapwater/system.php?pws=NH0821020,Fitzwilliam Village/laughner,03467
Fitzwilliam,53,NH,https://www.ewg.org/tapwater/system.php?pws=NH0821030,Fitzwilliam Village/massin,03467
Fitzwilliam,43,NH,https://www.ewg.org/tapwater/system.php?pws=NH0821010,Fitzwilliam Village/prigge,03467
Keene,70,NH,https://www.ewg.org/tapwater/system.php?pws=NH2302050,Forest View Estates,03467
Rindge,50,NH,https://www.ewg.org/tapwater/system.php?pws=NH1992040,Hampshire Court Water,03467
