1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,No,Take-out,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,Yes,Accepts Credit Cards,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,Yes,Accepts Apple Pay,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,No,Accepts Google Pay,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,"Street, Private Lot",Parking,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,Yes,Bike Parking,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,Yes,Wheelchair Accessible,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,Yes,Dogs Allowed,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
1,2,3,23,37,2:00 pm - 11:00 pm,4:00 pm - 10:00 pm,12:00 pm - 11:00 pm,11:00 am - 10:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 10:00 pm
        
                Open now",4:00 pm - 10:00 pm,Breweries,Minneapolis,Claimed,,No,Caters,Wild Mind Artisan Ales,Inexpensive,,4.5,66 reviews,6031 Pillsbury Ave S
,,,,,,,,,,,,,Edina,,,NA,NA,Wooden Hill Brewing Company,,NA,,NA,7421 Bush Lake Road
