,1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,0,0,0,2,10,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Closed,Closed,Breweries,Mars,,,No,Take-out,Stick City Brewing Company,Moderate,,5.0,12 reviews,109 Irvine ST
,0,0,0,2,10,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Closed,Closed,Breweries,Mars,,,Yes,Accepts Credit Cards,Stick City Brewing Company,Moderate,,5.0,12 reviews,109 Irvine ST
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,Yes,Take-out,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,Yes,Accepts Credit Cards,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,No,Accepts Apple Pay,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,No,Accepts Google Pay,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,No,Accepts Cryptocurrency,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,Private Lot,Parking,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,Yes,Bike Parking,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,Yes,Wheelchair Accessible,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,No,Dogs Allowed,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,1,1,5,22,32,4:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 8:00 pm,4:00 pm - 9:00 pm,Closed,"4:00 pm - 9:00 pm
        
                Closed now",Breweries,Royersford,Claimed,,No,Caters,Stickman Brews,Moderate,,4.5,61 reviews,326 N Lewis Rd # 240
,,,,,,,,,,,,,,Pittsburgh,,,NA,NA,Strange Roots Experimental Ales,,NA,,NA,501 E Ohio St
,,,,,,,,,,,,,,Saint Marys,,,NA,NA,Straub Brewery,,NA,,NA,303 Sorg St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Yes,Takes Reservations,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Yes,Take-out,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Yes,Accepts Credit Cards,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,No,Accepts Apple Pay,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,No,Accepts Cryptocurrency,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Street,Parking,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,No,Bike Parking,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Yes,Wheelchair Accessible,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Yes,Good for Groups,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Casual,Attire,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
,3,8,12,20,60,7:00 am - 12:00 am,7:00 am - 10:00 pm,7:00 am - 12:00 am,10:00 am - 8:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"7:00 am - 10:00 pm
        
                Open now","Breweries,Distilleries,American (Traditional)",Middletown,Claimed,,Average,Noise Level,Tattered Flag Brewery,$11-30,,4.0,103 reviews,1 S Union St
