1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,,,,,,,,,,,,,Salinas,,,NA,NA,Alvarado Street Brewery,,NA,,NA,1315 Dayton St Ste E
,,,,,,,,,,,,,San Diego,,,NA,NA,Amplified Ale Works Miramar Studio,,NA,,NA,9030 Kenamar Dr Ste 309
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,No,Take-out,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,Yes,Accepts Credit Cards,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,No,Accepts Apple Pay,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,No,Accepts Google Pay,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,Private Lot,Parking,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,Yes,Bike Parking,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,Yes,Good for Kids,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,Average,Noise Level,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
8,6,27,78,104,11:00 am - 7:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,11:00 am - 6:00 pm,"11:00 am - 6:00 pm
        
                Closed now",11:00 am - 6:00 pm,"Breweries,Disc Golf",Boonville,Claimed,,No,Caters,Anderson Valley Brewing Co,Moderate,,4.0,223 reviews,17700 CA-253
,,,,,,,,,,,,,Carlsbad,,,NA,NA,Arcana Brewing Company,,NA,,NA,5621 Palmer Way Ste C
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,No,Take-out,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Accepts Credit Cards,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,No,Accepts Apple Pay,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,No,Accepts Google Pay,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Private Lot,Parking,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Bike Parking,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Wheelchair Accessible,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,No,Good for Kids,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Dogs Allowed,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,No,Caters,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Gender Neutral Restrooms,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
6,1,5,19,61,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Closed now",12:00 pm - 10:00 pm,Breweries,Richmond,Claimed,,Yes,Open to All,Armistice Brewing Company,Moderate,,4.5,92 reviews,845 Marina Bay Pkwy Suite 1
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,No,Take-out,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,Yes,Accepts Credit Cards,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,No,Accepts Apple Pay,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,Yes,Accepts Google Pay,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,No,Accepts Cryptocurrency,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,"Garage, Street",Parking,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
3,2,10,32,78,3:00 pm - 11:00 pm,3:00 pm - 9:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 9:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,South San Francisco,Claimed,97 out of 100,Yes,Bike Parking,Armstrong Brewing Co,Inexpensive,,4.5,125 reviews,415 Grand Ave Ste 103
