id,condition,input_zip,output_lat,output_lon
500,grouped,15693,34.98059466111111,-111.97962236111113
500,grouped,15638,34.98059466111111,-111.97962236111113
500,grouped,15650,40.40803100235294,-79.83968770705881
500,grouped,15696,34.98059466111111,-111.97962236111113
500,grouped,15691,34.98059466111111,-111.97962236111113
500,grouped,15611,34.98059466111111,-111.97962236111113
500,grouped,15605,42.20972471007752,-71.09767844496123
500,grouped,15606,42.20972471007752,-71.09767844496123
500,grouped,15601,35.40150644285714,-97.53377575357143
500,grouped,15642,40.08470863164557,-76.5903678493671
501,grouped,70358,39.79686479,-86.19486446111111
501,grouped,70357,38.224460747169815,-78.81912353396227
501,grouped,70377,38.224460747169815,-78.81912353396227
501,grouped,70353,38.224460747169815,-78.81912353396227
501,grouped,70354,38.224460747169815,-78.81912353396227
501,grouped,70083,38.224460747169815,-78.81912353396227
501,grouped,70363,38.224460747169815,-78.81912353396227
501,grouped,70343,38.224460747169815,-78.81912353396227
501,grouped,70345,38.224460747169815,-78.81912353396227
501,grouped,70082,38.224460747169815,-78.81912353396227
502,grouped,43812,35.40150644285714,-97.53377575357143
502,grouped,43037,34.98059466111111,-111.97962236111113
502,grouped,43005,34.98059466111111,-111.97962236111113
502,grouped,43844,34.98059466111111,-111.97962236111113
502,grouped,43828,42.20972471007752,-71.09767844496123
502,grouped,43022,34.98059466111111,-111.97962236111113
502,grouped,43843,34.98059466111111,-111.97962236111113
502,grouped,43048,42.20972471007752,-71.09767844496123
502,grouped,43803,42.20972471007752,-71.09767844496123
502,grouped,43824,40.85816157894737,-81.23381233508772
503,grouped,84751,34.98059466111111,-111.97962236111113
503,grouped,84752,34.98059466111111,-111.97962236111113
503,grouped,84731,34.98059466111111,-111.97962236111113
503,grouped,84760,30.499809642105266,-84.9313431368421
503,grouped,84713,34.98059466111111,-111.97962236111113
503,grouped,84637,34.98059466111111,-111.97962236111113
503,grouped,84644,42.20972471007752,-71.09767844496123
503,grouped,84759,34.98059466111111,-111.97962236111113
503,grouped,84631,34.98059466111111,-111.97962236111113
503,grouped,84636,34.98059466111111,-111.97962236111113
504,grouped,49268,34.98059466111111,-111.97962236111113
504,grouped,49270,34.98059466111111,-111.97962236111113
504,grouped,48140,34.98059466111111,-111.97962236111113
504,grouped,49238,34.98059466111111,-111.97962236111113
504,grouped,49221,35.40150644285714,-97.53377575357143
504,grouped,48161,42.51821412818182,-83.27356483545455
504,grouped,48162,34.98059466111111,-111.97962236111113
504,grouped,48131,34.98059466111111,-111.97962236111113
504,grouped,49253,35.572861282608706,-83.84001994347827
504,grouped,48166,34.98059466111111,-111.97962236111113
505,grouped,57571,34.98059466111111,-111.97962236111113
505,grouped,57317,34.98059466111111,-111.97962236111113
505,grouped,57538,34.98059466111111,-111.97962236111113
505,grouped,57529,34.98059466111111,-111.97962236111113
505,grouped,57523,34.98059466111111,-111.97962236111113
505,grouped,57342,34.98059466111111,-111.97962236111113
505,grouped,57533,34.98059466111111,-111.97962236111113
505,grouped,57369,34.98059466111111,-111.97962236111113
505,grouped,57364,34.98059466111111,-111.97962236111113
505,grouped,57328,34.98059466111111,-111.97962236111113
506,grouped,96770,47.16840602352941,-120.31805777941177
506,grouped,96729,47.16840602352941,-120.31805777941177
506,grouped,96815,43.86106409523809,-103.69915593333332
506,grouped,96816,39.06089827043478,-76.90568525565217
506,grouped,96826,43.86106409523809,-103.69915593333332
506,grouped,96814,43.86106409523809,-103.69915593333332
506,grouped,96825,43.86106409523809,-103.69915593333332
