id,condition,input_zip,output_lat,output_lon
0,random,44121,42.51821412818182,-83.27356483545455
1,random,17083,34.98059466111111,-111.97962236111113
2,random,62618,32.96803109361702,-80.52219323404255
3,random,01876,47.62468858548387,-117.0784646032258
4,random,66870,33.897729505555546,-84.44988028055555
5,random,24504,34.98059466111111,-111.97962236111113
6,random,07201,35.40150644285714,-97.53377575357143
7,random,26505,33.897729505555546,-84.44988028055555
8,random,33054,35.40150644285714,-97.53377575357143
9,random,56170,36.0828948,-94.17613124399999
10,random,95842,47.62468858548387,-117.0784646032258
11,random,10314,33.477657515000004,-111.98440946333334
12,random,85076,42.20972471007752,-71.09767844496123
13,random,06503,42.20972471007752,-71.09767844496123
14,random,21671,34.98059466111111,-111.97962236111113
15,random,43403,41.27037736,-83.89154744333334
16,random,35263,42.20972471007752,-71.09767844496123
17,random,44833,40.08470863164557,-76.5903678493671
18,random,83464,34.98059466111111,-111.97962236111113
19,random,85535,34.98059466111111,-111.97962236111113
20,random,16236,45.91739098,-118.55983937
21,random,30394,42.20972471007752,-71.09767844496123
22,random,55602,45.05539481111111,-85.2132865462963
23,random,46302,42.20972471007752,-71.09767844496123
24,random,32118,38.224460747169815,-78.81912353396227
25,random,20746,42.51821412818182,-83.27356483545455
26,random,35650,34.98059466111111,-111.97962236111113
27,random,54620,42.20972471007752,-71.09767844496123
28,random,72556,47.4015982090909,-104.47874556363637
29,random,50624,42.53569168064516,-123.22130807419356
30,random,45264,42.20972471007752,-71.09767844496123
31,random,78150,34.98059466111111,-111.97962236111113
32,random,76136,42.20972471007752,-71.09767844496123
33,random,25245,32.96803109361702,-80.52219323404255
34,random,27409,42.51821412818182,-83.27356483545455
35,random,27856,33.897729505555546,-84.44988028055555
36,random,46920,40.08470863164557,-76.5903678493671
37,random,48360,34.98059466111111,-111.97962236111113
38,random,14837,38.224460747169815,-78.81912353396227
39,random,70057,30.499809642105266,-84.9313431368421
40,random,47598,34.98059466111111,-111.97962236111113
41,random,33062,42.51821412818182,-83.27356483545455
42,random,16627,34.98059466111111,-111.97962236111113
43,random,21644,47.62468858548387,-117.0784646032258
