city,people_served,state,url,utility_name,zip
Kasaan,46,AK,https://www.ewg.org/tapwater/system.php?pws=AK2120606,Kasaan,99928
Ketchikan,25,AK,https://www.ewg.org/tapwater/system.php?pws=AK2121479,Ketchikan H2o Water Haulers,99928
Ketchikan,8980,AK,https://www.ewg.org/tapwater/system.php?pws=AK2120232,Ketchikan Public Utilities,99928
Ketchikan,60,AK,https://www.ewg.org/tapwater/system.php?pws=AK2121123,Port Protection,99928
Ketchikan,450,AK,https://www.ewg.org/tapwater/system.php?pws=AK2120127,Saxman,99928
Ketchikan,975,AK,https://www.ewg.org/tapwater/system.php?pws=AK2121510,South Tongass Water Utility,99928
Ketchikan,25,AK,https://www.ewg.org/tapwater/system.php?pws=AK2121514,Southeast Services,99928
Ketchikan,225,AK,https://www.ewg.org/tapwater/system.php?pws=AK2120012,Vallenar View Mobile Home Park,99928
