id,latitude,longitude,label
0,33.524521,-86.774322,15
1,33.1984907123707,-87.5621551272424,15
2,33.5128492349817,-86.7914000624146,15
3,34.7277523,-86.59320140000001,114
6,32.2467372722906,-110.992750525872,18
9,32.201608314954,-110.82177857113399,18
10,32.2504946147872,-111.005452051979,18
11,35.2500282,-112.18921680000001,44
12,34.4689736300844,-114.34243347788099,87
13,33.668774497683394,-112.238054093359,124
16,33.516633,-112.0301125,124
18,34.7594277548278,-92.2726892120821,58
19,34.742845,-92.260019,58
20,36.3326432,-92.3599724,130
23,33.02391,-117.08575,10
24,37.6783911404914,-121.721097428074,57
26,33.7998367777778,-117.896089444444,94
28,36.301467555555604,-119.78471100000002,68
29,37.780654999999996,-122.3969947,57
33,36.8535938163265,-121.400836918367,57
34,37.3253017839889,-121.88234782361201,57
35,32.641495,-117.08036899999999,10
38,34.1674435,-118.15955670000001,123
40,34.0363873913043,-118.223301521739,123
41,37.6989500360251,-121.814589292069,57
42,32.755722999999996,-117.12873200000001,10
43,34.060340102630704,-117.217577166632,94
46,38.5332279038371,-121.483117319123,3
47,37.315251291037,-121.866477333785,57
48,37.36253839160821,-121.95031675758601,57
50,33.524521,-86.774322,15
51,33.1984907123707,-87.5621551272424,15
52,33.5128492349817,-86.7914000624146,15
53,34.7277523,-86.59320140000001,114
56,32.2467372722906,-110.992750525872,18
59,32.201608314954,-110.82177857113399,18
60,32.2504946147872,-111.005452051979,18
61,35.2500282,-112.18921680000001,44
62,34.4689736300844,-114.34243347788099,87
63,33.668774497683394,-112.238054093359,124
66,33.516633,-112.0301125,124
68,34.7594277548278,-92.2726892120821,58
69,34.742845,-92.260019,58
70,36.3326432,-92.3599724,130
73,33.02391,-117.08575,10
74,37.6783911404914,-121.721097428074,57
76,33.7998367777778,-117.896089444444,94
78,36.301467555555604,-119.78471100000002,68
79,37.780654999999996,-122.3969947,57
83,36.8535938163265,-121.400836918367,57
84,37.3253017839889,-121.88234782361201,57
85,32.641495,-117.08036899999999,10
88,34.1674435,-118.15955670000001,123
90,34.0363873913043,-118.223301521739,123
91,37.6989500360251,-121.814589292069,57
92,32.755722999999996,-117.12873200000001,10
93,34.060340102630704,-117.217577166632,94
96,38.5332279038371,-121.483117319123,3
97,37.315251291037,-121.866477333785,57
98,37.36253839160821,-121.95031675758601,57
102,34.134155,-118.001973040816,123
103,38.06828367333871,-122.535014356985,127
106,38.57198820000001,-121.54111999999999,3
107,32.709922999999996,-116.87742,10
112,33.8044209,-118.21562320000001,123
113,37.757743700000006,-122.3880818,57
115,32.8908008085346,-117.151828378447,10
116,38.952499158384,-121.081368585457,3
117,32.912641,-117.230519,10
118,33.0762994189637,-116.590154368311,10
119,33.2136973549748,-117.352957287439,10
120,34.097638082168395,-117.754146518132,94
122,37.6511615833333,-122.49102166666701,57
123,33.141537,-117.14914099999999,10
124,38.24248400000001,-122.04154399999999,127
125,33.133904,-117.269558,10
126,36.9822865,-121.9405748,57
128,38.294506,-122.47778799999999,127
129,38.9118004,-120.0074997,83
136,32.8957500613992,-117.13746697090599,10
137,34.278159204081604,-119.299444632653,35
138,38.654368100000006,-121.49088020000002,3
141,34.4555624289373,-118.58078679473499,123
145,39.5659575,-104.9426656,61
148,39.9864294285714,-104.82243299999999,61
153,38.8326073,-104.81897061234699,61
154,39.782516799999996,-105.00240947511101,61
155,39.698793755102,-105.00162900000001,61
156,39.964883,-105.119781,61
158,40.3714876,-105.52613170000001,14
159,32.7018758,-117.14147121679301,10
163,40.5620458,-105.0380013,14
168,38.889659925238,-104.71460451346701,61
169,39.7615104,-104.98121809999999,61
170,40.58916845,-105.058489475164,14
171,40.387892,-104.7859342,14
175,40.0203098,-105.21831359999999,61
177,38.2624164489796,-104.610367714286,144
179,41.5974763265155,-73.0575366209305,4
181,41.848728289720896,-72.5714790446604,134
182,41.393211668667796,-72.9195534130741,4
183,41.2731614754047,-73.44388491116351,4
