brewery_id,latitude,longitude,label
brew0,41.1059952,-80.4507907,26
brew1,40.404099,-79.870272,77
brew2,39.92394669999999,-75.1788656,108
brew3,39.96697109999999,-75.16611329999998,108
brew4,40.70104300000001,-80.2825002,77
brew5,40.3281095,-76.07078800000001,5
brew6,40.1078347,-74.90087249999998,108
brew7,40.2280532,-75.40447170000002,108
brew8,40.1118399,-76.50296,5
brew9,40.397452200000004,-75.1541537,108
brew10,41.24033499999999,-77.00562,118
brew11,40.2025481,-77.1884377,5
brew12,40.465629,-79.965468,77
brew13,40.8608902,-79.894999,77
brew14,40.592437100000005,-75.3976193,43
brew15,40.7171349,-79.7551022,77
brew16,40.33568959999999,-75.95014559999998,5
brew17,40.07422649999999,-75.20255840000002,108
brew18,40.462067600000005,-79.9640833,77
brew19,40.466494899999994,-79.9648079,77
brew20,41.2027755,-79.3290822,26
brew21,40.456539899999996,-78.76599519999998,77
brew22,40.4273436,-80.36737540000001,77
brew23,40.517315999999994,-80.16339599999998,77
brew24,39.9616195,-76.72384760000001,5
brew25,40.032531,-76.5036329,5
brew26,40.6074731,-79.6703721,77
brew27,40.07369569999999,-75.2925187,108
brew28,40.992430299999995,-76.0585366,43
brew29,40.47987020000001,-79.9164717,77
brew30,40.469469399999994,-79.90901590000001,77
brew31,40.8916346,-76.48041490000001,5
brew32,40.1304244,-76.584289,5
brew33,41.04317320000001,-80.35777390000001,26
brew34,39.9744581,-75.18084019999998,108
brew35,40.179339299999995,-75.10484530000002,108
brew36,41.0453749,-80.424763,26
brew37,40.133466999999996,-75.517725,108
brew38,39.9486532,-76.76276390000001,5
brew39,39.9525839,-75.1652215,108
brew40,40.466840999999995,-79.95680909999999,77
brew41,41.404394599999996,-80.39009539999998,26
brew42,40.215144,-77.18630379999998,5
brew44,40.2269677,-76.43240140000002,5
brew45,39.993246899999995,-75.10760520000001,108
brew46,41.120874,-78.76442359999999,77
brew47,39.94765470000001,-75.22270040000001,108
brew48,40.3105021,-75.12915770000001,108
brew49,40.3149003,-80.0886373,77
brew50,40.0591314,-75.1904809,108
brew51,40.006818200000005,-75.70084809999999,108
brew52,40.459257,-79.9117928,77
brew53,40.4670177,-79.96546099999998,77
brew54,40.8911156,-77.47699480000001,118
brew55,41.916467499999996,-75.84669439999998,138
brew56,40.408716,-79.908202,77
brew57,42.1205503,-80.09065939999998,26
brew58,42.111482,-80.11289090000001,26
brew59,39.9482294,-75.14379029999998,108
brew60,40.238356200000005,-76.9609304,5
brew61,39.9757885,-75.1338556,108
brew62,40.6221774,-75.38209479999998,43
brew63,39.976092,-75.1375621,108
brew64,40.0524891,-76.30087890000001,5
brew65,40.6230529,-79.14977449999998,77
brew66,39.9677149,-75.13378709999998,108
brew67,40.1532249,-79.7434078,77
brew68,40.1553243,-75.22504789999998,108
brew69,40.136764299999996,-79.89778709999999,77
