city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Brooklyn,NA,NA,"SakeBrooklyn Brewing Co., LLC",NA,NA,
Ithaca,NA,NA,Scale House Brewery & Pub,NA,NA,23 Cinema Dr Ste C
Manlius,NA,NA,Seneca Street Brew Pub,NA,NA,315 E Seneca St Ste 1
Howes Cave,NA,NA,Serious Brewing Co.,NA,NA,116 Caverns Rd
Farmington,NA,NA,Sevens Brew Pub,NA,NA,5857 Route 96
Queensbury,NA,NA,SlickFin Brewing Company LLC,NA,NA,
New Paltz,NA,NA,Smart Beer Company,NA,NA,
Lakewood,NA,NA,Southern Tier Brewing Co,NA,NA,2072 Stoneman Cir
Albany,NA,NA,Steadfast Beer Co,NA,NA,1756 Western Ave Rear
Gloversville,NA,NA,Stump City Brewing LLC,NA,NA,521 W Fulton Street Ext
Millerton,NA,NA,Svendale Brewing Co,NA,NA,
Brooklyn,NA,NA,Sweet Thursday Beer Co,NA,NA,
Lansing,NA,NA,"Salt Point Brewing Co, LLC",NA,NA,2075 East Shore Dr
Utica,NA,NA,Saranac Brewery / Matt Brewing Co,NA,NA,811 Edward St
West Islip,NA,NA,Secatogue Brewing Co.,NA,NA,375 Union Blvd
Brooklyn,NA,NA,The Food Works,NA,NA,
New York,NA,NA,Toast Ale,NA,NA,601 W 26th St Ste 325-291
Farmingdale,NA,NA,Tweaking Frog Brewing Company,NA,NA,211 Main St Ste A
Livingston Manor,NA,NA,Upward Brewing Co.,NA,NA,
Plattsburgh,NA,NA,Valcour Brewing Company LLC,NA,NA,49 Ohio Rd
Mamaroneck,NA,NA,Velveteen Brewing Co,NA,NA,
Lodi,NA,NA,Wagner Valley Brewing Co,NA,NA,9322 Route 414
Brooklyn,NA,NA,War Flag Brewing Co,NA,NA,649 Morgan Ave Ste B16-5
Brooklyn,NA,NA,Wartega,NA,NA,33 35th St Unit 6A
Saratoga Springs,NA,NA,Whitman Brewing Company,NA,NA,
New Paltz,NA,NA,The Brewery At Bacchus,NA,NA,4 S Chestnut St
New York,NA,NA,Third Rail Beer,NA,NA,928 Broadway Ste 902
Marietta,NA,NA,Tim's Pumpkin Patch,NA,NA,2901 Rose Hill Rd
Troupsburg,NA,NA,TripEnd Brewing,NA,NA,3072 Prutsman Rd
Oswego,NA,NA,US Beer Brewers At the Cellar Door,NA,NA,17 W Cayuga St
Brooklyn,NA,NA,Wild East Brewing Co.,NA,NA,
Saratoga Springs ,NA,NA,Winnerâs Circle Brewing Company,NA,NA,21 Whistler Court Apt 4
Buffalo,NA,NA,Wooden Skiff Beer Co.,NA,NA,
Raleigh,NA,NA,1323 R & D,NA,NA,1323 Capital Blvd 1323 R and D
Elkin,NA,NA,Angry Troll Brewing / 222 Public House,NA,NA,222 E Main St Ste U2
Mint Hill,NA,NA,Barking Duck Brewing Company,NA,NA,4400 Morris Park Dr Ste R
Bear Creek,NA,NA,Bear Creek Brews,NA,NA,10538 Nc 902 Hwy
New Bern,NA,NA,Beer Army,NA,NA,
Baldwinsville,NA,NA,WT Brews LLC,NA,NA,3 W Genesee St
Yonkers,NA,NA,Yonkers Brewing Co,NA,NA,92 Main St
Ocracoke,NA,NA,1718 Ocracoke Brewing,NA,NA,1129 Irvin Garrish Hwy
Shallotte,NA,NA,34 Degree North Experiment Station,NA,NA,4802 Main St
Trenton,NA,NA,3rd Rock Brewing Company,NA,NA,134 Industrial Park Dr
Asheville,NA,NA,Asheville Brewing Co,NA,NA,77 Coxe Ave
Asheville,NA,NA,Ben's Tune-Up / Ben's Beer,NA,NA,195 Hilliard Ave
Asheville,NA,NA,Bhramari Brewhouse,NA,NA,101 S Lexington Ave
Wilmington,NA,NA,Bill's Brewing Co.,NA,NA,4238 Market St.
Wilmington,NA,NA,Bill's Front Porch Pub and Brewery,NA,NA,4238 Market St
Tryon,NA,NA,Bottle Tree Beer Co,NA,NA,10 N Trade St Apt A
Matthews,NA,NA,"Brewery in Planning - Matthews, NC",NA,NA,
Winston Salem,NA,NA,Brewery in Planning - Winston Salem,NA,NA,
Asheville,NA,NA,Burial Beer Co Forestry Camp,NA,NA,
Winston Salem,NA,NA,Cavern Brewing At Lowes Foods,NA,NA,1381 Old Mill Cir Ste 200
Raleigh,NA,NA,Collection Brewing Company,NA,NA,
Cincinnati,NA,NA,Brewery in Planning - Cincinnati,NA,NA,
Boone,NA,NA,Booneshine Brewing Company,NA,NA,465 Industrial Park Dr.
Mebane,NA,NA,Bright Penny Brewing Company,NA,NA,309 W Graham St
Morehead City,NA,NA,Crystal Coast Brewing Company LLC,NA,NA,702 Arendell St
Carrboro,NA,NA,Dingo Dog Brewing Co,NA,NA,
Pisgah Forest ,NA,NA,Ecusta Brewing Co,NA,NA,49 Pisgah Hwy Ste 3
Pisgah Forest,NA,NA,Ecusta Brewing Co - Drift Taproom,NA,NA,49 Pisgah Hwy
Graham,NA,NA,Forgotten Road Ales,NA,NA,
Angier,NA,NA,"Franklin Brewing Company, LLC",NA,NA,
Greensboro,NA,NA,"G. Mansfield, Inc",NA,NA,
Seagrove,NA,NA,GroundLion Brewing,NA,NA,
Southern Pines,NA,NA,Hatchet Brewing Company,NA,NA,
Cuyahoga Falls,NA,NA,Brewery in Planning - Cuyahoga Falls,NA,NA,
Farmville,NA,NA,Duck Rabbit Craft Brewery,NA,NA,4519 West Pine St
Carolina Beach,NA,NA,Good Hops Brewing LLC,NA,NA,811 Harper Ave
Asheville,NA,NA,Green Man Brewing Co,NA,NA,27 Buxton Ave
Hayesville,NA,NA,Hayesville Brewing Co,NA,NA,1568 Highway 64 W
Winston Salem,NA,NA,HOOTS Beer Co.,NA,NA,840 Mill Works St
Boone,NA,NA,Ivory Tower Brewery,NA,NA,
High Point,NA,NA,"Jigsaw Brewing, LLC",NA,NA,
Mooresville,NA,NA,Jolly Roger Brew,NA,NA,236 Raceway Dr Ste 12
Rocky Mount,NA,NA,Koi Pond Brewing Co,NA,NA,1107 Falls Rd
Boone,NA,NA,"Lost Province Brewing Company, LLC",NA,NA,130 N. Depot Street PO Box 614
Reidsville,NA,NA,Lucky City Brewing Co.,NA,NA,
Asheville,NA,NA,Hi-Wire Brewing Big Top Production Facility,NA,NA,2 Huntsman Pl
Asheville,NA,NA,Hi-Wire Brewing South Slope Specialty Brewery,NA,NA,197 Hilliard Ave
Fayetteville,NA,NA,Huske Hardware House Brewing Co,NA,NA,405 Hay St
Charlotte,NA,NA,Hyde Brewing,NA,NA,2911 Griffith St
Kernersville,NA,NA,Kernersville Brewing Company,NA,NA,210 N Main St
Asheville,NA,NA,Lexington Avenue Brewery - The LAB,NA,NA,39 N Lexington Ave
Marshall,NA,NA,Mad County Brewing,NA,NA,45 N Main St
Wilmington,NA,NA,Mad Mole Brewing LLC,NA,NA,6309 Boathouse Rd Ste C
Pineville,NA,NA,Middle James Brewing Company,NA,NA,
Arden,NA,NA,Mills River Brewery,NA,NA,330 Rockwood Rd Ste 103
Durham,NA,NA,Modern Romance Brewery,NA,NA,
Gold Hill,NA,NA,Morgan Ridge Vineyards & Brewhouse,NA,NA,486 John Morgan Rd
Pittsboro,NA,NA,NAZZ'D Brew Works and Pub,NA,NA,
Raleigh,NA,NA,NC State Brewery,NA,NA,400 Dan Allen Drive Campus Box 7624
Lansing,NA,NA,New River Brewing,NA,NA,9211 NC Hwy 194 N Unit A
Davidson,NA,NA,Off Main Brewing,NA,NA,
Hickory,NA,NA,Olde Hickory Brewery & Amos Howards,NA,NA,2828 US Highway 70 SW
Wake Forest,NA,NA,Owls Roost Brewing,NA,NA,
Brevard,NA,NA,Peaks and Creeks Brewing Company,NA,NA,212 King St Ste B
Oriental,NA,NA,New Village Brewery and Taproom,NA,NA,702 Broad St
Charlotte,NA,NA,NoDa Brewing Co - NE,NA,NA,2921 N Tryon St
Charlotte,NA,NA,NoDa Brewing Co - OG,NA,NA,2229 N Davidson St
Hickory,NA,NA,Olde Hickory Brewery - Production,NA,NA,2 3rd St SW
Clemmons,NA,NA,Other Side of the Moon Brewery / Full Moon Oyster Bar,NA,NA,1477 River Ridge Dr
Whitsett,NA,NA,Red Oak Brewing Co,NA,NA,6901 Konica Dr
Charlotte,NA,NA,Rock Bottom Brewery- Charlotte,NA,NA,401 N Tryon St Ste 100
Charlotte,NA,NA,Seven Jars Products,NA,NA,6148-B Brookshire Blvd
Hendersonville,NA,NA,Southern Appalachian Brewery,NA,NA,822 Locust St Ste 100
Chapel Hill,NA,NA,"Starpoint Brewing, LLC",NA,NA,901 Clarence Dr
Chapel Hill,NA,NA,"Starpoint Brewing, LLC / Beer Study",NA,NA,2501 University Dr Ste 4
Valdese,NA,NA,"The Levee Brewing Company, Inc",NA,NA,
Concord,NA,NA,Red Hill Brewing Co,NA,NA,21 Union St S
Charlotte,NA,NA,Resident Culture Brewing Company LLC,NA,NA,2101 Central Ave
Belmont,NA,NA,Rivermen Brewing Co,NA,NA,1500 River Dr
Hendersonville,NA,NA,Sanctuary Brewing Company,NA,NA,147 1st Ave E
Wilmington,NA,NA,Tek Mountain Brewing,NA,NA,1844 Sir Tyler Dr
Jamestown,NA,NA,The Other Side of the Moon - Jamestown,NA,NA,103 W Main St
Charlotte,NA,NA,The Sycamore Brewing Cannery,NA,NA,401 W 24th St
Charlotte,NA,NA,Thirsty Nomad Brewing,NA,NA,4402 Stuart Andrew Blvd Ste A
Charlotte,NA,NA,Traust Brewing Co.,NA,NA,
Fairview,NA,NA,Turgua Brewing Co,NA,NA,27 Firefly Hollow Dr
Lincolnton,NA,NA,"Untapped Territory, LLC",NA,NA,326 E Main St Ste 1735
,NA,NA,1487 Brewery,NA,NA,
Charlotte,NA,NA,Wooden Robot,NA,NA,1440 S Tryon St Ste 110
Morehead City,NA,NA,Tight Lines Pub,NA,NA,709 Arendell St
Raleigh,NA,NA,Tobacco Road Brewery,NA,NA,505 W Jones St
Arden,NA,NA,Wicked Weed Funk House,NA,NA,95 Old Shoals Rd
McKenzie,NA,NA,Black Leg Brewery,NA,NA,
Whitehall,NA,NA,2 Tones Brewing Co.,NA,NA,
Cincinnati,NA,NA,Big Ash Brewing Company,NA,NA,
Cleveland,NA,NA,"Bookhouse Brewing, LLC.",NA,NA,
Cleveland Heights,NA,NA,Breaking Point Brewery,NA,NA,
Bethel,NA,NA,Brewery In Planning - Bethel,NA,NA,
Defiance,NA,NA,4kd Crick Brewery,NA,NA,211 Carpenter Rd
Columbus,NA,NA,"Actual Brewing Company, LLC",NA,NA,655 N James Rd
Akron,NA,NA,Akronym Brewing LLC,NA,NA,58 E Market St
Columbus,NA,NA,Anheuser-Busch Inc â Columbus,NA,NA,700 Schrock Rd
Mount Orab,NA,NA,Bardwell Winery and Brewery,NA,NA,716 N High St
Lakewood,NA,NA,BottleHouse Brewery,NA,NA,13368 Madison Ave
Strongsville,NA,NA,Brew Kettle - Production Works,NA,NA,20102 Progress Dr
Canal Winchester,NA,NA,"BrewDog Brewing Company, LLC",NA,NA,96 Gender Rd
Logan,NA,NA,"Brewery 33 Hocking Hills, LLC",NA,NA,12684 College Prospect Dr
Solon,NA,NA,"Brewery in Planning - Solon, OH",NA,NA,
Stow,NA,NA,"Brewery in Planning - Stow, OH",NA,NA,
Upper Arlington,NA,NA,Brewery in Planning - Upper Arlington,NA,NA,
Wadsworth,NA,NA,Brewery In Planning - Wadsworth,NA,NA,
Waynesville,NA,NA,Brewery in Planning - Waynesville,NA,NA,
Columbus,NA,NA,"Brewery In Planning - Worthington, OH.",NA,NA,
Sylvania,NA,NA,Brubaker's Brewery & Pub,NA,NA,
Newbury,NA,NA,Crooked Pecker Brewing,NA,NA,
Cincinnati,NA,NA,Dead Low Brewing,NA,NA,
Cleveland,NA,NA,Earlybird Brewing Company,NA,NA,737 Bolivar Rd Ste 4100
Columbus,NA,NA,Elevator Brewing Co - Production facility,NA,NA,165 N 4th St
Versailles,NA,NA,Endless Pint Brewing,NA,NA,
Newark,NA,NA,Buck's Brewing Co,NA,NA,993 Mount Vernon Rd
Chagrin Falls,NA,NA,Chagrin Beer Company,NA,NA,178 E Washington St
Mentor,NA,NA,CLE Brewing,NA,NA,9431 Mercantile Dr
Cleveland,NA,NA,Cleveland Brewing Company @ Butcher and The Brewer,NA,NA,2043 E 4th St
Warren,NA,NA,Clubhouse Brewing Company Ltd,NA,NA,668 N River Rd NW
Columbus,NA,NA,Columbus Brewing Co,NA,NA,2555 Harrison Rd
Columbus,NA,NA,Commonhouse Ales,NA,NA,535 Short St
Newark,NA,NA,DankHouse Brewing Company,NA,NA,161 Forry St
Xenia,NA,NA,Devil Wind Brewing LLC,NA,NA,130 S Detroit St
Madison,NA,NA,Double Wing Brewing Co,NA,NA,7840 Doty Rd
Columbus,NA,NA,Endeavor Brewing Company,NA,NA,909 W 5th Ave
North Olmsted,NA,NA,Fat Head's Brewery & Saloon,NA,NA,24581 Lorain Rd
Canton,NA,NA,Fat Head's Brewpub - Canton,NA,NA,3885 Everhard Rd NW
Cleveland,NA,NA,Forest City Brewery,NA,NA,2135 Columbus Rd Ste A
Columbus,NA,NA,Four String Brewing Company - West Side Production Facility,NA,NA,660 N Hague Ave
Maumee,NA,NA,Granite City Food & Brewery (#25),NA,NA,2300 Village Dr W
Grove City,NA,NA,Grove City Brewing Company,NA,NA,3946 Broadway
Rayland,NA,NA,Hightower Brewing Co,NA,NA,3445 County Road 16 Unit B
Akron,NA,NA,Hoppin' Frog Brewing Co,NA,NA,1680 E Waterloo Rd Ste F
Middletown,NA,NA,FigLeaf Brewing Company,NA,NA,3387 Cincinnati Dayton Rd
Napoleon,NA,NA,Flatrock Brewery,NA,NA,621 N Perry St
Columbus,NA,NA,Four String Brewing Company,NA,NA,985 W 6th Ave
Elyria,NA,NA,Franklin Brewing Co,NA,NA,1345 East Ave
Blue Ash,NA,NA,Fretboard Brewing Company,NA,NA,5800 Creek Rd
Cleveland,NA,NA,Goldhorn Brewery,NA,NA,1361 E 55th St
Geneva,NA,NA,GOTL Brewing Co,NA,NA,5243 Lake Rd E
Toledo,NA,NA,Great Black Swamp Brewing Co,NA,NA,3323 Monroe St
Cleveland,NA,NA,Gypsy Brewery,NA,NA,3506 Vega Ave
Cleveland,NA,NA,Hansa Brewery,NA,NA,2717 Lorain Ave
Coshocton,NA,NA,Hasseman Brewing,NA,NA,115 S 6th St
Stow,NA,NA,Headtrip Brewery,NA,NA,1634 Norton Rd
Cuyahoga Falls,NA,NA,HiHO Brewing Co,NA,NA,1707 Front St
Hudson,NA,NA,Hop Tree Brewing Company Ltd,NA,NA,1297 Hudson Gate Dr
Columbus,NA,NA,Hoster Brewing Co,NA,NA,760 Harmon Ave
Powell,NA,NA,Ill Mannered Brewing Company,NA,NA,30 Grace Dr
Sylvania,NA,NA,Inside The Five Brewing,NA,NA,5703 Main St
Athens,NA,NA,Jackie O's Pub & Brewery,NA,NA,22-24 W Union St
Mansfield,NA,NA,Laxton Hollow Brewing Works,NA,NA,302 E Main St
Mount Victory,NA,NA,Levitate,NA,NA,
Bolivar,NA,NA,Lockport Brewery,NA,NA,10891 OH-212
Chagrin Falls,NA,NA,Lucky Owl Brewing,NA,NA,8660 Tamarack Trl
Cincinnati,NA,NA,March First Brewing,NA,NA,7885 E Kemper Rd
Cadiz,NA,NA,Monzula Farm Brewery / Vineyard 22,NA,NA,83800 Monzula Rd
Lancaster,NA,NA,Mosaic Brewing,NA,NA,
Cincinnati,NA,NA,Mt. Carmel Brewing Co,NA,NA,4362 Mount Carmel Tobasco Rd
Medina,NA,NA,Lager Heads Brewing Co.,NA,NA,325 W Smith Rd
Medina,NA,NA,Lager Heads Smokehouse,NA,NA,2832 Abbeyville Rd
Columbus,NA,NA,Lineage Brewing,NA,NA,2971 N High St
Canal Winchester,NA,NA,Loose Rail Brewing,NA,NA,37 W Waterloo St
Kent,NA,NA,Madcap Brew Co.,NA,NA,1422 Mogadore Rd
Hartville,NA,NA,Maize Valley Craft Brewery,NA,NA,6193 Edison St NE
Cleveland,NA,NA,Market Garden Brewery,NA,NA,1947 W 25th St
Trenton,NA,NA,MillerCoors Brewing Co - Trenton,NA,NA,2525 Wayne Madison Rd
Nelsonville,NA,NA,Multiple Brewing Company,NA,NA,82 W Washington St
Grand Rapids,NA,NA,Neon Groundhog Brewery - Majestic Oak Winery,NA,NA,13554 Mohler Rd
New Bremen,NA,NA,New Bremen Brewing Company,NA,NA,
Dayton,NA,NA,Nowhere In Particular Brewing Company,NA,NA,6826 Loop Rd
Bidwell,NA,NA,Old Mill Craft Beer,NA,NA,2376 State Route 850
Sunbury,NA,NA,On The Fly Brewing Company,NA,NA,
Carroll,NA,NA,Outerbelt Brewing Company,NA,NA,
Belle Center,NA,NA,Paradune Brewing Company,NA,NA,20707 Township Rd 119
Lakewood,NA,NA,Pedestrian Brewing,NA,NA,
Columbus,NA,NA,Permission Brewing Company,NA,NA,
Wauseon,NA,NA,Ramblin Reds Brewing Company,NA,NA,1493 N Shoop Ave Unit A
Wauseon,NA,NA,Ridge Runner Brewing LLC,NA,NA,
Cincinnati,NA,NA,Rock Bottom Brewery - Cincinnati,NA,NA,10 Fountain Square Plz
Cincinnati,NA,NA,Northern Row Brewery & Distillery,NA,NA,111 W McMicken Ave
Cincinnati,NA,NA,Off Track Brewing Company,NA,NA,227 Stark Street
Medway,NA,NA,Pinups & Pints,NA,NA,10963 Lower Valley Pike
Cleveland,NA,NA,Platform Beer Co - Production Facility,NA,NA,3506 Vega Ave
Cincinnati,NA,NA,Platform Cincinnati,NA,NA,916 Dalton Ave
Lancaster,NA,NA,Rockmill Brewing Co,NA,NA,5705 Lithopolis Rd NW
Akron,NA,NA,Roobrew,NA,NA,
Middle Bass Island,NA,NA,Saint Hazards Brewery,NA,NA,1233 Fox Road
Mount Orab,NA,NA,Sons Of Toil Brewing LLC,NA,NA,14090 Klein Rd
Westerville,NA,NA,Spires Social Brewing Co.,NA,NA,
Hinckley,NA,NA,The Blue Heron Brewery,NA,NA,
Mason,NA,NA,The Common Beer Company,NA,NA,
Columbia,NA,NA,Fawken Beer Company,NA,NA,
Brunswick,NA,NA,The Vine N Hop Shop,NA,NA,1327 N. Carpenter Rd.
Massillon,NA,NA,Royal Docks Brewhouse and Cannery,NA,NA,5646 Wales Ave NW
North Canton,NA,NA,Shale Brewing Co,NA,NA,7253 Whipple Ave NW
Jackson,NA,NA,Sixth Sense Brewing Company,NA,NA,175 Main St.
Cincinnati,NA,NA,Taft's Brewing Co,NA,NA,4831 Spring Grove Ave
Columbus,NA,NA,The Brew Brothers / Scioto Downs Racino,NA,NA,6000 S. High Street
Strongsville,NA,NA,"The Brew Kettle, Taproom and Smokehouse",NA,NA,8377 Pearl Rd
Cincinnati,NA,NA,Third Eye Brewery,NA,NA,
Ashland,NA,NA,Veteran Brewhouse,NA,NA,829 CR 801
Geneva,NA,NA,Virant Family Winery / Black Angus Brewery,NA,NA,541 Atkins Rd
Dayton,NA,NA,Warped Wing Brewing Co,NA,NA,26 Wyandot St
Zanesville,NA,NA,Weasel Boy Brewing Co  LLC,NA,NA,126 Muskingum Ave Unit E
Columbus,NA,NA,Zaftig Brewing Co.,NA,NA,7020 Huntley Rd Ste A
Norman,NA,NA,Beer Is Good Brewing Company,NA,NA,
Oklahoma City,NA,NA,"Brewery in Planning - Oklahoma City, OK",NA,NA,
Akron,NA,NA,Thirsty Dog Brewing Company,NA,NA,529 Grant St Ste 103
Catawba Island,NA,NA,Twin Oast Brewing,NA,NA,3630 NE Catawba Rd
Cleveland,NA,NA,West East Brewing Co,NA,NA,4125 Lorain Ave
Cincinnati,NA,NA,"Wiedemann Brewing Co, LLC",NA,NA,4811 Vine St
Norman,NA,NA,Black Mesa Brewing Company,NA,NA,3901 N Flood Ave
Pryor,NA,NA,Fat Toad Brewing Company,NA,NA,3986 W 530 Rd
Edmond,NA,NA,Frenzy Brewing Company,NA,NA,
Caddo,NA,NA,Harbinger Beer Company LLC,NA,NA,
El Reno,NA,NA,Land Run Craft Brewing Co.,NA,NA,
Oklahoma City,NA,NA,Red Dirt Brewing Co,NA,NA,
Bartlesville,NA,NA,Scissortail Brewing Co.,NA,NA,
Albany,NA,NA,3 Sheets Brewery,NA,NA,136 W 1st Ave
Eugene,NA,NA,"Agrarian Ales, LLC",NA,NA,31115 W Crossroads Ln
Hillsboro,NA,NA,Ambacht Brewing,NA,NA,1060 NE 25th Ave Ste B
Tulsa,NA,NA,Hanson Brothers Beer Company,NA,NA,209 N Main St
Tulsa,NA,NA,High Gravity Brewing Company,NA,NA,6808 S Memorial Dr STE 144
Oklahoma City,NA,NA,Huebert Brewing Co.,NA,NA,421 SW 26th St
Tulsa,NA,NA,"Marshall Brewing Co, LLC",NA,NA,618 S Wheeling Ave
Tulsa,NA,NA,Nothing's Left Brewing Co.,NA,NA,1502 E 6th St
Moore,NA,NA,"Royal Bavaria Brewhouse, Restaurant and Biergarten",NA,NA,3401 S Sooner Rd
Oklahoma City,NA,NA,Twisted Spike Brewing Company,NA,NA,1 NW 10th St
Portland,NA,NA,13 Virtues Brewing Co,NA,NA,6410 SE Milwaukie Ave
Portland,NA,NA,Assembly brewing,NA,NA,
Bend,NA,NA,Bend Brewing High Desert,NA,NA,20650 NE High Desert Lane
Bend,NA,NA,Bevel Craft Brewing,NA,NA,
Bend,NA,NA,Boneyard Beer Co,NA,NA,37 NW Lake Pl Ste B
Boring,NA,NA,"Boring Brewing Co., LLC",NA,NA,29300 SE Haley Road Ste B
Portland,NA,NA,Brewery 26,NA,NA,
Bend,NA,NA,Brewery In Planning - Bend,NA,NA,
Eugene,NA,NA,Brewery In Planning - Eugene,NA,NA,
Eugene,NA,NA,Brewery in Planning - Eugene,NA,NA,
Florence,NA,NA,"Brewery in Planning - Florence, OR",NA,NA,
Portland,NA,NA,Brewery In Planning - Portland,NA,NA,
Gresham,NA,NA,Barley Sprouts Brewery,NA,NA,639 SE 223rd Ave
Lebanon,NA,NA,Barsideous Brewing Co,NA,NA,644 S Main St
Newport,NA,NA,Bier One Brewing,NA,NA,424 SW Coast Hwy
Philomath,NA,NA,Bierly Brewing @ Eats and Treats,NA,NA,1644 Main St
Hood River,NA,NA,Big Horse Brewpub,NA,NA,115 State St
Corvallis,NA,NA,Block 15,NA,NA,300 SW Jefferson Ave
Milwaukie,NA,NA,Breakside Brewery & Taproom,NA,NA,5821 SE International Way
Portland,NA,NA,Breakside Brewery Slabtown,NA,NA,1570 NW 22nd Ave
Portland,NA,NA,Brewed By Gnomes,NA,NA,1735 SE 33rd Ave
Astoria,NA,NA,Buoy Beer Company,NA,NA,1 8th St
Portland,NA,NA,Burnside Brewing Co,NA,NA,701 E Burnside St
Ashland,NA,NA,Caldera Brewing Co,NA,NA,590 Clover Ln
Beaverton,NA,NA,Cascade Brewing Blending House,NA,NA,6770 SW 111th Ave
Independence,NA,NA,Chatoe Rogue Farmstead Brewery,NA,NA,3590 Wigrich Rd
Newberg,NA,NA,Chehalem Valley Brewery,NA,NA,2515 Portland Rd Ste B
Portland,NA,NA,Coalition Brewing Co,NA,NA,2705 SE Ankeny St Ste C
Bend,NA,NA,Craft Kitchen and Brewery,NA,NA,62988 Layton Ave Ste 103
Carlton,NA,NA,Crowing Hen,NA,NA,
Bend,NA,NA,Crux Fermentation Project - Crux2,NA,NA,63065 18th St
Seaside,NA,NA,"DAMARKOM, INC.",NA,NA,
Dundee,NA,NA,Deception Brewing Company,NA,NA,1174 SW Highway 99W
Albany,NA,NA,Deluxe Brewing Co,NA,NA,PO Box 3358
Eugene,NA,NA,Elk Horn Brewery,NA,NA,686 E Broadway
Harrisburg,NA,NA,Brewery in Planning - Harrisburg,NA,NA,
Grants Pass,NA,NA,Conner Fields Brewing,NA,NA,121 SW H St
Beaverton,NA,NA,Cooper Mountain Ale Works,NA,NA,15855 SW Kestrel Ct
Tillamook,NA,NA,De Garde Brewing,NA,NA,114 Ivy Ave
Hillsboro,NA,NA,Deep Space Brewing / Out of This World Pizza,NA,NA,6255 NE Century Blvd
Bend,NA,NA,Deschutes Brewery,NA,NA,901 SW Simpson Ave
Roseburg,NA,NA,Draper Brewing,NA,NA,640 SE Jackson St
McMinnville,NA,NA,Evasion Brewing - Production Facility,NA,NA,4230 NE Riverside Dr
Estacada,NA,NA,Fearless Brewing Co,NA,NA,326 S Broadway St
Oregon City,NA,NA,Feckin Brewery,NA,NA,415 S McLoughlin Blvd
Portland,NA,NA,Fire On the Mountain Brewing Co,NA,NA,3443 NE 57th Ave
Astoria,NA,NA,Fort George Brewery,NA,NA,1483 Duane St
Portland,NA,NA,Funhouse Brews,NA,NA,7717 N Emerald Ave Unit A
Terrebonne,NA,NA,Good Earth Brewing,NA,NA,
Portland,NA,NA,Great Notion Brewing,NA,NA,2204 NE Alberta St Ste 101
Banks,NA,NA,Hop Cycle Brewing Company,NA,NA,
Newberg,NA,NA,Long Brewing LLC,NA,NA,
Corvallis,NA,NA,Mazama Brewing Co,NA,NA,33930 SE Eastgate Cir Unit A
Tualatin,NA,NA,G Man Brewery / G-Man Sports Bar,NA,NA,18791 SW Martinazzi Ave
Portland,NA,NA,"Gateway Brewing, Inc",NA,NA,114 NE 133rd Ave
Salem,NA,NA,Gilgamesh Brewing Co,NA,NA,2065 Madrona Ave SE
Portland,NA,NA,Hair of the Dog Brewing Co,NA,NA,61 SE Yamhill St
Hermiston,NA,NA,Hermiston Brewing Co,NA,NA,125 N 1st St
Forest Grove,NA,NA,"Kaiser Brewing Company, LLC",NA,NA,1607 Hawthorne St
Redmond,NA,NA,Kobold Brewing,NA,NA,245 SW 6th St
Gresham,NA,NA,Krauski's Brewskis / The Hoppy Brewer,NA,NA,328 N Main Ave
Portland,NA,NA,Laurelwood Public House and Brewery - NE,NA,NA,5115 NE Sandy Blvd
Portland,NA,NA,Madcow Brewing Co.,NA,NA,206 SE 166th Ave
Chattanooga,NA,NA,Five Wits Brewing Co.,NA,NA,
Milwaukie,NA,NA,Oakenbrau,NA,NA,
Roseburg,NA,NA,Old 99 Brewing Co,NA,NA,3750 Hooker Rd Ste A
Portland,NA,NA,McMenamins Crystal Ballroom Brewery,NA,NA,1332 W Burnside St
Pacific City,NA,NA,Pelican Brewing Company,NA,NA,33180 Cape Kiwanda Dr
Cannon Beach,NA,NA,Pelican Brewing Company - Cannon Beach,NA,NA,1371 S Hemlock St
Portland,NA,NA,PINTS Brewing Company and Urban Taproom,NA,NA,412 NW 5th Ave Suite 200
Bend,NA,NA,RiverBend Brewing Pub,NA,NA,2650 NE Division St
Silverton,NA,NA,Seven Brides Brewery,NA,NA,990 North First Street
Bend,NA,NA,Shade Tree Brewing,NA,NA,
Corvallis,NA,NA,Splintercat Brewing,NA,NA,
Tillamook,NA,NA,Pelican Brewing Company - Tillamook,NA,NA,1708 1st St
Portland,NA,NA,Pono Brewing Company,NA,NA,5716 SE 92nd Ave
Portland,NA,NA,Portland Brewing/North American Breweries,NA,NA,2730 NW 31st Ave
Portland,NA,NA,Portland U-Brew & Pub,NA,NA,6237 SE Milwaukie Ave
Pendleton,NA,NA,"Prodigal Son Brewery and Pub, The",NA,NA,230 SE Court Ave
Clackamas,NA,NA,RAM Restaurant and Brewery - Clackamas,NA,NA,9073 SE Sunnyside Rd
Medford,NA,NA,RAM Restaurant and Brewery - Medford,NA,NA,165 Rossanley Dr
Portland,NA,NA,Rock Bottom Brewery - Portland,NA,NA,206 SW Morrison St
Portland,NA,NA,Rosenstadt Brewery LLC,NA,NA,4110 SE Hawthorne Blvd # 735
Portland,NA,NA,"Ruse Brewing, LLC.",NA,NA,4784 SE 17th Ave
Portland,NA,NA,Sasquatch Pub,NA,NA,6440 SW Capitol Hwy.
Seaside,NA,NA,Seaside Brewery,NA,NA,851 Broadway St
Silverton,NA,NA,Silver Falls Brewery,NA,NA,207 Jersey St
