,1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,,,,,,,,,,,,,,Cincinnati,,,NA,NA,Revel Urban Winery / Revel OTR,,NA,,NA,111 E 12th St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,No,Take-out,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,Yes,Accepts Credit Cards,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,No,Accepts Apple Pay,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,No,Accepts Google Pay,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,"Street, Private Lot",Parking,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,Yes,Bike Parking,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,2,1,3,10,26,3:00 pm - 12:00 am,Closed,2:00 pm - 12:00 am,12:30 pm - 8:00 pm,3:00 pm - 11:00 pm,Closed,3:00 pm - 11:00 pm,Breweries,Mansfield,Claimed,,No,Caters,The Phoenix Brewing Company,Moderate,,4.5,42 reviews,131 N Diamond St
,,,,,,,,,,,,,,,,,NA,NA,Skydance Brewing Company,,NA,,NA,
,16,11,19,32,58,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,12:00 pm - 8:00 pm,11:00 am - 8:00 pm,"11:00 am - 8:00 pm
        
                Closed now",11:00 am - 8:00 pm,"Pizza,Breweries",Bandon,Claimed,,Yes,Liked by Vegetarians,Bandon Brewing Company,$11-30,,4.0,136 reviews,395 2nd St SE
