,1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,No,Good For Happy Hour,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
,,,,,,,,,,,,,,Charleston,,,NA,NA,Revelry Brewing Co.,,NA,,NA,10 Conroy St
,,,,,,,,,,,,,,Bluffton,,,NA,NA,Salt Marsh Brewing,,NA,,NA,203 Bluffton Rd
,,,,,,,,,,,,,,Florence,,,NA,NA,Seminar Brewing,,NA,,NA,551 W Lucas St
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,No,Take-out,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Yes,Accepts Credit Cards,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,No,Accepts Apple Pay,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,No,Accepts Cryptocurrency,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Private Lot,Parking,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,No,Bike Parking,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Yes,Wheelchair Accessible,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Yes,Dogs Allowed,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,No,Caters,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Yes,Offers Military Discount,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,0,1,2,3,5,3:00 pm - 10:00 pm,Closed,2:00 pm - 10:00 pm,Closed,3:00 pm - 10:00 pm,"3:00 pm - 7:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Charleston,Claimed,,Yes,Gender Neutral Restrooms,Snafu Brewing Company,Moderate,,4.0,11 reviews,3280 Industry Dr
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Takes Reservations,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Delivery,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Take-out,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Accepts Credit Cards,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Accepts Apple Pay,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Accepts Google Pay,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Private Lot,Parking,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Bike Parking,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Wheelchair Accessible,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Good for Kids,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Good for Groups,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Casual,Attire,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Average,Noise Level,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Beer & Wine Only,Alcohol,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Good For Happy Hour,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Outdoor Seating,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Wi-Fi,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Has TV,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,Yes,Waiter Service,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,14,12,8,23,54,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"11:30 am - 10:00 pm
        
                Closed now",11:30 am - 10:00 pm,"American (Traditional),Brewpubs",Bluffton,Claimed,A,No,Caters,Southern Barrel Brewing Company,$11-30,,4.0,111 reviews,375 Buckwalter Place Blvd
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Takes Reservations,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Take-out,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Accepts Credit Cards,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Accepts Apple Pay,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,"Street, Private Lot",Parking,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Bike Parking,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Good for Groups,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,"Hipster, Casual",Ambience,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Loud,Noise Level,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Good For Dancing,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Beer & Wine Only,Alcohol,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Good For Happy Hour,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,"Wed, Thu, Fri",Best Nights,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Coat Check,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Smoking,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Outdoor Seating,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Free,Wi-Fi,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Has TV,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,No,Has Pool Table,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,7,4,14,13,25,12:00 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,12:00 pm - 7:00 pm,4:00 pm - 10:00 pm,"4:00 pm - 9:00 pm
        
                Closed now",4:00 pm - 9:00 pm,"Pubs,Breweries",Travelers Rest,Claimed,,Yes,Gender Neutral Restrooms,Swamp Rabbit Brewery and Taproom,Moderate,,3.5,63 reviews,26 S Main St
,,,,,,,,,,,,,,Charleston,,,NA,NA,The Hold By Revelry Brewing,,NA,,NA,36 Romney St
,,,,,,,,,,,,,,Greenville,,,NA,NA,Thomas Creek Brewery,,NA,,NA,2054 Piedmont Hwy
,,,,,,,,,,,,,,Charleston,,,NA,NA,Tradesman Brewing Company,,NA,,NA,1639 Tatum St
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Yes,Take-out,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Yes,Accepts Credit Cards,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,No,Accepts Apple Pay,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,No,Accepts Google Pay,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,No,Accepts Cryptocurrency,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Private Lot,Parking,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Yes,Bike Parking,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Yes,Wheelchair Accessible,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
,0,1,3,12,14,12:00 pm - 12:00 am,12:00 pm - 10:00 pm,11:00 am - 12:00 am,11:00 am - 9:00 pm,12:00 pm - 10:00 pm,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,Breweries,Spearfish,Claimed,,Yes,Dogs Allowed,Crow Peak Brewing Co,Moderate,,4.5,30 reviews,125 W Highway 14
