,1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,,,,,,,,,,,,,,Greenville,,,NA,NA,Think Tank Brew Lab,,NA,,NA,
,,,,,,,,,,,,,,Columbia,,,NA,NA,Twisted Spur Brewing,,NA,,NA,705 Gervais St Ste A
,,,,,,,,,,,,,,Mount Pleasant,,,NA,NA,Two Blokes Brewing Co.,,NA,,NA,547 Long Point Rd Ste 101
,,,,,,,,,,,,,,Greenville,,,NA,NA,Upstate Craft Beer Company,,NA,,NA,400 Augusta St Ste 120
,,,,,,,,,,,,,,Mount Pleasant,,,NA,NA,Westbrook Brewing Co,,NA,,NA,510 Ridge Rd
,,,,,,,,,,,,,,Summerville,,,NA,NA,Wide Awake Brewing Company,,NA,,NA,
,,,,,,,,,,,,,,Humboldt,,,NA,NA,Big Sioux Brewing Company,,NA,,NA,
,,,,,,,,,,,,,,Piedmont,,,NA,NA,Brewery In Planning - Piedmont,,NA,,NA,
,,,,,,,,,,,,,,Spearfish,,,NA,NA,Brewery in Planning - Spearfish,,NA,,NA,
,,,,,,,,,,,,,,Hartford,,,NA,NA,Buffalo Ridge Brewing,,NA,,NA,
,,,,,,,,,,,,,,Rapid City,,,NA,NA,Dakota Point Brewing LLC,,NA,,NA,405 Canal St Ste 1200
,,,,,,,,,,,,,,Aberdeen,,,NA,NA,Dakota Territory Brewing,,NA,,NA,
,,,,,,,,,,,,,,Watertown,,,NA,NA,"Dempseys Brewery, Pub",,NA,,NA,127 N Broadway
,,,,,,,,,,,,,,North Charleston,,,NA,NA,Pawleys Island Brewing Company,,NA,,NA,2668 Industrial Ave
,,,,,,,,,,,,,,Greenville,,,NA,NA,Quest Brewing Company,,NA,,NA,55 Airview Dr
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,Yes,Take-out,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,Yes,Accepts Credit Cards,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,Private Lot,Parking,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,No,Bike Parking,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
,5,10,7,9,13,12:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,Closed,2:00 pm - 10:00 pm,"2:00 pm - 10:00 pm
        
                Closed now",2:00 pm - 10:00 pm,Breweries,Simpsonville,Claimed,A,Yes,Wheelchair Accessible,Rail Line Brewing,Pricey,,3.5,44 reviews,301 N Main St
